Rank,Name,Country,Born,Order,Consistory,Office,PapalConclaveEligible,CreatedCardinalBy
133,Patrick D'Rozario CSC,Bangladesh,1 October 1943,CP,19 November 2016,Archbishop emeritus of Dhaka,False,Pope Francis
134,Baltazar Enrique Porras Cardozo,Venezuela,10 October 1944,CP,19 November 2016,Archbishop emeritus of Caracas,False,Pope Francis
135,Jozef De Kesel,Belgium,17 June 1947,CP,19 November 2016,Archbishop emeritus of Mechelen–Brussels,True,Pope Francis
136,Maurice Piat CSSp,Mauritius,19 July 1941,CP,19 November 2016,Bishop emeritus of Port-Louis,False,Pope Francis
137,Carlos Aguiar Retes,Mexico,9 January 1950,CP,19 November 2016,Archbishop of Mexico,True,Pope Francis
138,John Ribat MSC,Papua New Guinea,9 February 1957,CP,19 November 2016,Archbishop of Port Moresby,True,Pope Francis
139,Joseph W. Tobin CSsR,United States,3 May 1952,CP,19 November 2016,Archbishop of Newark,True,Pope Francis
140,Jean Zerbo,Mali,27 December 1943,CP,28 June 2017,Archbishop emeritus of Bamako,False,Pope Francis
141,Juan José Omella,Spain,21 April 1946,CP,28 June 2017,Archbishop of Barcelona,False,Pope Francis
142,Anders Arborelius OCD,Sweden,24 September 1949,CP,28 June 2017,Bishop of Stockholm,True,Pope Francis
143,Louis-Marie Ling Mangkhanekhoun IVD,Laos,8 April 1944,CP,28 June 2017,Apostolic Vicar emeritus of Vientiane,False,Pope Francis
144,Gregorio Rosa Chávez,El Salvador,3 September 1942,CP,28 June 2017,Auxiliary Bishop emeritus of San Salvador,False,Pope Francis
145,Angelo De Donatis,Italy,4 January 1954,CP,28 June 2018,Major Penitentiary,True,Pope Francis
146,Joseph Coutts,Pakistan,21 July 1945,CP,28 June 2018,Archbishop emeritus of Karachi,False,Pope Francis
147,António Marto,Portugal,5 May 1947,CP,28 June 2018,Bishop emeritus of Leiria–Fátima,True,Pope Francis
148,Pedro Barreto SJ,Peru,12 February 1944,CP,28 June 2018,Archbishop emeritus of Huancayo,False,Pope Francis
149,Désiré Tsarahazana,Madagascar,13 June 1954,CP,28 June 2018,Archbishop of Toamasina,True,Pope Francis
150,Giuseppe Petrocchi,Italy,19 August 1948,CP,28 June 2018,Archbishop emeritus of L'Aquila,True,Pope Francis
151,Thomas Aquino Manyo Maeda,Japan,3 March 1949,CP,28 June 2018,Archbishop of Osaka–Takamatsu,True,Pope Francis
152,Toribio Ticona Porco,Bolivia,25 April 1937,CP,28 June 2018,Bishop Prelate emeritus of Corocoro,False,Pope Francis
153,Ignatius Suharyo Hardjoatmodjo,Indonesia,9 July 1950,CP,5 October 2019,Archbishop of Jakarta,True,Pope Francis
154,Juan García Rodríguez,Cuba,11 July 1948,CP,5 October 2019,Archbishop of San Cristóbal de la Habana,True,Pope Francis
155,Fridolin Ambongo Besungu OFMCap,Democratic Republic of the Congo,24 January 1960,CP,5 October 2019,Archbishop of Kinshasa,True,Pope Francis
156,Jean-Claude Hollerich SJ,Luxembourg,9 August 1958,CP,5 October 2019,Archbishop of Luxembourg,True,Pope Francis
157,Álvaro Leonel Ramazzini Imeri,Guatemala,16 July 1947,CP,5 October 2019,Bishop of Huehuetenango,True,Pope Francis
158,Matteo Zuppi,Italy,11 October 1955,CP,5 October 2019,Archbishop of Bologna,True,Pope Francis
159,Cristóbal López Romero SDB,Morocco[l],19 May 1952,CP,5 October 2019,Archbishop of Rabat,True,Pope Francis
160,Sigitas Tamkevičius SJ,Lithuania,7 November 1938,CP,5 October 2019,Archbishop emeritus of Kaunas,False,Pope Francis
161,Antoine Kambanda,Rwanda,10 November 1958,CP,28 November 2020,Archbishop of Kigali,True,Pope Francis
162,Wilton Daniel Gregory,United States,7 December 1947,CP,28 November 2020,Archbishop emeritus of Washington,True,Pope Francis
163,Jose Advincula OP,Philippines,30 March 1952,CP,28 November 2020,Archbishop of Manila,True,Pope Francis
164,Celestino Aós Braco OFMCap,Chile[m],6 April 1945,CP,28 November 2020,Archbishop emeritus of Santiago de Chile,False,Pope Francis
165,Augusto Paolo Lojudice,Italy,1 July 1964,CP,28 November 2020,Archbishop of Siena–Colle di Val d'Elsa–Montalcino and Bishop of Montepulciano–Chiusi–Pienza,True,Pope Francis
166,Felipe Arizmendi Esquivel,Mexico,1 May 1940,CP,28 November 2020,Bishop emeritus of San Cristóbal de Las Casas,False,Pope Francis
167,Jean-Marc Aveline,France,26 December 1958,CP,27 August 2022,Archbishop of Marseille,True,Pope Francis
168,Peter Okpaleke,Nigeria,1 March 1963,CP,27 August 2022,Bishop of Ekwulobia,True,Pope Francis
169,Leonardo Ulrich Steiner OFM,Brazil,6 November 1950,CP,27 August 2022,Archbishop of Manaus,True,Pope Francis
170,Filipe Neri Ferrão,India,20 January 1953,CP,27 August 2022,Archbishop of Goa and Daman and Patriarch of the East Indies,True,Pope Francis
171,Robert W. McElroy,United States,5 February 1954,CP,27 August 2022,Archbishop of Washington,True,Pope Francis
172,Virgílio do Carmo da Silva SDB,East Timor,27 November 1967,CP,27 August 2022,Archbishop of Díli,True,Pope Francis
173,Oscar Cantoni,Italy,1 September 1950,CP,27 August 2022,Bishop of Como,True,Pope Francis
174,Anthony Poola,India,15 November 1961,CP,27 August 2022,Archbishop of Hyderabad,True,Pope Francis
175,Paulo Cezar Costa,Brazil,20 July 1967,CP,27 August 2022,Archbishop of Brasília,True,Pope Francis
176,William Goh,Singapore,25 June 1957,CP,27 August 2022,Archbishop of Singapore,True,Pope Francis
177,Adalberto Martínez Flores,Paraguay,8 July 1951,CP,27 August 2022,Archbishop of Asunción,True,Pope Francis
178,Giorgio Marengo IMC,Mongolia[n],7 June 1974,CP,27 August 2022,Apostolic Prefect of Ulaanbaatar,True,Pope Francis
179,Jorge Enrique Jiménez Carvajal CJM,Colombia,29 March 1942,CP,27 August 2022,Archbishop emeritus of Cartagena,False,Pope Francis
180,Arrigo Miglio,Italy,18 July 1942,CP,27 August 2022,Archbishop emeritus of Cagliari,False,Pope Francis
181,Pierbattista Pizzaballa OFM,Jerusalem[o],21 April 1965,CP,30 September 2023,Latin Patriarch of Jerusalem,True,Pope Francis
182,Stephen Brislin,South Africa,24 September 1956,CP,30 September 2023,Archbishop of Johannesburg,True,Pope Francis
183,Ángel Sixto Rossi SJ,Argentina,11 August 1958,CP,30 September 2023,Archbishop of Córdoba,True,Pope Francis
184,Luis José Rueda Aparicio,Colombia,3 March 1962,CP,30 September 2023,Archbishop of Bogotá,True,Pope Francis
185,Grzegorz Ryś,Poland,9 February 1964,CP,30 September 2023,Archbishop of Kraków,True,Pope Francis
186,Stephen Ameyu Martin Mulla,South Sudan,10 January 1964,CP,30 September 2023,Archbishop of Juba,True,Pope Francis
187,José Cobo Cano,Spain,20 September 1965,CP,30 September 2023,Archbishop of Madrid,True,Pope Francis
188,Protase Rugambwa,Tanzania,31 May 1960,CP,30 September 2023,Archbishop of Tabora,True,Pope Francis
189,Sebastian Francis,Malaysia,11 November 1951,CP,30 September 2023,Bishop of Penang,True,Pope Francis
